Local TimeFreq mean	I 4 mean	I a mean	I avg mean	I b mean	I c mean	kVA tot mean	kVAR tot mean	kW tot mean	PF lag mean	PF lead mean	V unbal mean	Vll ab mean	Vll avg mean	Vll bc mean	Vll ca mean
04-05-2024 17:00:0060.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.42	34997.91	34883.59	34923.73	34729.12
04-05-2024 17:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.39	35108.97	35003.63	35043.18	34858.69
04-05-2024 17:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.39	35134.70	35031.80	35075.28	34885.48
04-05-2024 17:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.36	35103.07	35006.57	35042.83	34873.78
04-05-2024 18:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.34	35115.41	35030.57	35073.01	34903.32
04-05-2024 18:15:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.33	35115.13	35034.84	35075.63	34913.81
04-05-2024 18:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.36	35081.22	34991.33	35036.22	34856.55
04-05-2024 18:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.48	34857.75	34738.75	34795.70	34562.74
04-05-2024 19:00:0059.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.53	34795.48	34672.66	34753.71	34468.81
04-05-2024 19:15:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.51	34890.56	34766.71	34846.39	34563.12
04-05-2024 19:30:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.54	34961.95	34830.01	34913.81	34614.23
04-05-2024 19:45:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.53	34999.16	34855.02	34923.02	34642.89
04-05-2024 20:00:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.51	35053.95	34913.08	34979.87	34705.42
04-05-2024 20:15:0059.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.51	35122.95	34991.94	35066.32	34786.52
04-05-2024 20:30:0060.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		100.00	0.49	35174.27	35038.73	35102.95	34838.96
